X,Y,OBJECTID,BEHEERCODE,LEGENDA,BOOMSOORT,NEDERLANDSE_NAAM,PLANTJAAR,EIGENAAR,BOMENTYPEN,PLANJR_SNOEI_THEO,SNOEIPERIODE,LEEFTIJD_WAARDEVOLLE_BOOM,TYPE_WAARDEVOLLE_BOOM,CLAS_WAARDEVOLLE_BOOM,KENM_WAARDEVOLLE_BOOM,JAAR_VAN_TOEKENNING,BUURTNAAM,WIJKNAAM,LAT,LON
5.844067291,51.94814616,1,06.24.B.2660,Gemeentelijke boom,Quercus robur,Zomereik,2008,Gem.Arnhem/Cluster Openbare Ruimte,,2020,,,,,,,Schuytgraaf-Zuid,Schuytgraaf,51.9481465,5.8440674
5.917011929,52.00746211,2,03.09.B.3125,Gemeentelijke boom,Fagus sylvatica,Gewone beuk,2000,Gem.Arnhem/Cluster Openbare Ruimte,,2021,,,,,,,Klarenbeek,Monnikenhuizen,52.0074621,5.917012
5.864794077,51.96280004,3,06.21.B.2814,Gemeentelijke boom,Populus canadensis 'Robusta',Canadese Populier,1970,Gem.Arnhem/Cluster Openbare Ruimte,Structurerende laanboom volwassen,2019,,,,,,,Elderhof,Elderveld,51.9628003,5.8647941
5.865093468,51.94905635,4,06.22.B.5089,Gemeentelijke boom,Acer pseudoplatanus 'Rotterdam',Gewone esdoorn,1995,Gem.Arnhem/Cluster Openbare Ruimte,Structurerende laanboom volwassen,2019,,,,,,,De Laar-Oost,De Laar,51.9490567,5.8650935
5.911027662,51.96665484,5,05.18.B.2181,Gemeentelijke boom,Prunus serrulata 'Amanogawa',Japanse Sierkers,2011,Gem.Arnhem/Cluster Openbare Ruimte,Structurerende laanboom jeugd,2021,,,,,,,Middelgraaflaan e.o.,Malburgen-Oost (Zuid),51.966655,5.9110277
5.920242121,51.95146139,6,05.19.B.1160,Gemeentelijke boom,Fraxinus excelsior 'Westhof's Glorie',Gewone Es,1975,Gem.Arnhem/Cluster Openbare Ruimte,,2023,,,,,,,Holthuizen,Vredenburg/Kronenburg,51.9514616,5.9202421
5.893258916,51.98372681,7,01.01.B.1218,Gemeentelijke boom,Tilia cordata 'Bolje',Kleinbladige linde,1980,Gem.Arnhem/Cluster Openbare Ruimte,Bosboom,2020,,,,,,,Utrechtsestraat,Centrum,51.983727,5.8932589
5.90770708,51.9555964,8,05.19.B.4403,Gemeentelijke boom,,,,Gem.Arnhem/Cluster Openbare Ruimte,,,,,,,,,Vredenburg,Vredenburg/Kronenburg,51.9555966,5.9077071
5.905648821,51.9716725,9,05.16.B.1158,Gemeentelijke boom,Catalpa speciosa,Grootbloemige Trompetboom,1960,Gem.Arnhem/Cluster Openbare Ruimte,,2021,,,,,,,Malburgen-West,Malburgen-West,51.9716727,5.9056488
5.88260347,51.99824308,10,02.12.B.1495,Gemeentelijke boom,Quercus palustris,Moeraseik,1900,Gem.Arnhem/Cluster Openbare Ruimte,Structurerende laanboom volwassen,2020,,,,,,,Hoogkamp,Burgemeesterswijk/Hoogkamp,51.9982432,5.8826035
5.871025661,51.94281344,11,06.22.B.3085,Gemeentelijke boom,Betula ermanii 'Holland',Goudberk,1980,Gem.Arnhem/Cluster Openbare Ruimte,,2022,,,,,,,De Laar-Oost,De Laar,51.9428138,5.8710258
5.896426919,51.93816334,12,05.23.B.1666,Gemeentelijke boom,Tilia cordata,Kleinbladige linde,1995,Gem.Arnhem/Cluster Openbare Ruimte,,2023,,,,,,,Rijkerswoerd-Midden,Rijkerswoerd,51.9381636,5.896427
5.860034835,51.95513265,13,06.21.B.3657,Gemeentelijke boom,Quercus robur,Zomereik,2010,Gem.Arnhem/Cluster Openbare Ruimte,Structurerende laanboom jeugd,2019,,,,,,,De Laar-West,De Laar,51.9551329,5.8600349
